"spaces","nospace"
"s.o.b.s","s.o.b.s"
"s/h/i/t","s/h/i/t"
"S&M","S&M"
"sack","sack"
"sambo","sambo"
"scummy","scummy"
"scut","scut"
"sh! +","sh!+"
"sh!+","sh!+"
"sh1s","sh1s"
"sh1t","sh1t"
"sh1t3","sh1t3"
"sh1te","sh1te"
"sh1ts","sh1ts"
"sh1tt","sh1tt"
"sh1tty","sh1tty"
"sh3mal3","sh3mal3"
"sh3male","sh3male"
"sheeeet","sheeeet"
"sheet","sheet"
"shemal3","shemal3"
"shet","shet"
"shi+","shi+"
"shi+e","shi+e"
"shi+y","shi+y"
"shiat","shiat"
"shipdit","shipdit"
"shit3","shit3"
"shitass","shitass"
"shitbag","shitbag"
"shitdip","shitdip"
"shites","shites"
"shitey","shitey"
"shitfck","shitfck"
"shitfk","shitfk"
"shitte","shitte"
"shitti","shitti"
"shlong","shlong"
"shmale","shmale"
"shtfuk","shtfuk"
"shylock","shylock"
"sk@nks","sk@nks"
"sk@nky","sk@nky"
"sk@nkz","sk@nkz"
"skanks","skanks"
"skankz","skankz"
"slag","slag"
"slanty","slanty"
"slit","slit"
"soab","soab"
"spics","spics"
"spix","spix"
"stfu","stfu"
"tadger","tadger"
"tart","tart"
"Tranny","Tranny"
"tw@t","tw@t"
"twa+","twa+"
"twats","twats"
"twatt","twatt"
"vag","vag"
"w@nker","w@nker"
"w@nkers","w@nkers"
"w4nk3r","w4nk3r"
"w4nker","w4nker"
"wang","wang"
"wank3r","wank3r"
"wank3rs","wank3rs"
"wanked","wanked"
"wankers","wankers"
"wankies","wankies"
"wanks","wanks"
"we1back","we1back"
"weiner","weiner"
"wh0r3","wh0r3"
"wh0re","wh0re"
"whoar","whoar"
"whoars","whoars"
"whor3","whor3"
"whores","whores"
"wnker","wnker"
"wophead","wophead"
"jerk","jerk"
"bloody","bloody"
"fuckwit","fuckwit"
"pisspot","pisspot"
"scumbag","scumbag"
"smegma","smegma"
"lardass","lardass"
"sod","sod"
"sod off","sodoff"
"f*ck","f*ck"
"f**k","f**k"
"sh*t","sh*t"
"d*mn","d*mn"
"a**","a**"
"b*tch","b*tch"
"cr@p","cr@p"
"b@stard","b@stard"
"sl*t","sl*t"
"wh*re","wh*re"
"pr*ck","pr*ck"
"d*ck","d*ck"
"c*ck","c*ck"
"p*ssy","p*ssy"
"h*ll","h*ll"
"p*ss","p*ss"
"d*uche","d*uche"
"w*nker","w*nker"
"a**hole","a**hole"
"b*lls","b*lls"
"b*g","b*g"
"f*ggot","f*ggot"
"tw*t","tw*t"
"j*rk","j*rk"
"kn*b","kn*b"
"bl**dy","bl**dy"
"t*sser","t*sser"
"c*m","c*m"
"j*zz","j*zz"
"j*sm","j*sm"
"g*ddamn","g*ddamn"
"t*t","t*t"
"t*tty","t*tty"
"w*nk","w*nk"
"*rse","*rse"
"f*ckwit","f*ckwit"
"sh*te","sh*te"
"d*mbass","d*mbass"
"d*pshit","d*pshit"
"a**hat","a**hat"
"sl*tty","sl*tty"
"f*cking","f*cking"
"p*sspot","p*sspot"
"sc*mbag","sc*mbag"
"sk*nk","sk*nk"
"sp*nk","sp*nk"
"t*rd","t*rd"
"d*ldo","d*ldo"
"sh*tbag","sh*tbag"
"f*ckbag","f*ckbag"
"f*ckboy","f*ckboy"
"j*ckass","j*ckass"
"j*ckoff","j*ckoff"
"j*goff","j*goff"
"l*rdass","l*rdass"
"s*d","s*d"
"s*d off","s*doff"
"d@mn","d@mn"
"#NAME?","#NAME?"
"b@lls","b@lls"
"p@ss","p@ss"
"wh@re","wh@re"
"c*um","c*um"
"shyt","shyt"
"fkk","fkk"
"sht","sht"
"pss","pss"
"btch","btch"
"cck","cck"
"cnt","cnt"
"pssy","pssy"
"dam","dam"
"dmn","dmn"
"bish","bish"
"bzitch","bzitch"
"cl*t","cl*t"
"p0rn","p0rn"
"b*stard","b*stard"
"b*gger","b*gger"
"f*ggt","f*ggt"
"f*got","f*got"
"fagit","fagit"
"p*rn","p*rn"
"fggt","fggt"
"prck","prck"
"k*ob","k*ob"
"k*ock","k*ock"
"ars","ars"
"bstrd","bstrd"
"n*ts","n*ts"
"sh*tter","sh*tter"
"sh*tty","sh*tty"
"w*anker","w*anker"
"fckr","fckr"
"fckn","fckn"
"dck","dck"
"prckr","prckr"
"knt","knt"
"cnnt","cnnt"
"ass-hat","ass-hat"
"cumface","cumface"
"cumhole","cumhole"
"slutbag","slutbag"
"gooch","gooch"
"nutjob","nutjob"
"numpty","numpty"
"twit","twit"
"twunt","twunt"
"trollop","trollop"
"scrote","scrote"
"cumrag","cumrag"
"pissrag","pissrag"
"cumdump","cumdump"
"fucknut","fucknut"
"abid","abid"
"Arabian","Arabian"
"armo","armo"
"aseng","aseng"
"banana","banana"
"brownie","brownie"
"chotara","chotara"
"kyotara","kyotara"
"chukhna","chukhna"
"churka","churka"
"coconut","coconut"
"cracker","cracker"
"crucco","crucco"
"descent","descent"
"dogun","dogun"
"eyetie","eyetie"
"fenian","fenian"
"flip","flip"
"fritz","fritz"
"gabacho","gabacho"
"gaijin","gaijin"
"gammon","gammon"
"godon","godon"
"gub","gub"
"guiri","guiri"
"guido","guido"
"guinea","guinea"
"gusano","gusano"
"gweilo","gweilo"
"gwer","gwer"
"haji","haji"
"chi-chi","chi-chi"
"Madrasi","Madrasi"
"mambet","mambet"
"mamluk","mamluk"
"hick","hick"
"honkie","honkie"
"hun","hun"
"jerry","jerry"
"kalar","kalar"
"kalu","kalu"
"kalia","kalia"
"kallu","kallu"
"kebab","kebab"
"labas","labas"
"laowai","laowai"
"locust","locust"
"mayate","mayate"
"mick","mick"
"mocro","mocro"
"paddy","paddy"
"pancake","pancake"
"riots","riots"
"sawney","sawney"
"Teague","Teague"
"ghetto","ghetto"
"wog-box","wog-box"
"taig","taig"
"bomber","bomber"
"wasian","wasian"
"zip","zip"
