StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Gender,Appointment,Years,Split,Likert Senate Both_1,Likert Senate Both_2,Likert Senate Both_3,Likert Senate Both_4,Likert Senate Both_5,Likert Senate Both_6,Likert Senate Both_7,Likert Senate Both_8,Likert Senate Both_9,Likert Senate Both_10,Q20,Q21,Q22,Q23,Council question bot,Council Likert Both_1,Council Likert Both_2,Council Likert Both_3,Council Likert Both_4,Council Likert Both_5,Council Likert Both_6,Council Likert Both_7,Council Likert Both_8,Council Likert Both_9,Council Likert Both_10,Q24,Q25,Q26,Q27,Likert Senate_1,Likert Senate_2,Likert Senate_3,Likert Senate_4,Likert Senate_5,Likert Senate_6,Likert Senate_7,Likert Senate_8,Likert Senate_9,Likert Senate_10,Comment Likert Sen,Process Senate,Policy Senate,Feedback Senate,Council name,Likert Council_1,Likert Council_2,Likert Council_3,Likert Council_4,Likert Council_5,Likert Council_6,Likert Council_7,Likert Council_8,Likert Council_9,Likert Council_10,Likert Council Comme,Process Council,Q16,Feedback Council
2026-04-02 16:25:40,2026-04-02 16:27:27,IP Address,205.175.106.33,100,106,True,2026-04-02 16:27:27,R_3jhWC5qwt63sVfX,,,,,47.6631,-122.3029,anonymous,EN,Woman,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:39,2026-04-02 16:27:27,IP Address,73.221.43.158,100,107,True,2026-04-02 16:27:27,R_1eR5UYR6iimXITz,,,,,47.8388,-122.1985,qr,EN,Man,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:33,2026-04-02 16:27:29,IP Address,67.168.63.143,100,115,True,2026-04-02 16:27:29,R_3GvPtIV0Rec9Pnr,,,,,47.5601,-122.2326,qr,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,"University President speaks for too long ",,,,,,,,,,,,,,,,,,
2026-04-02 16:25:30,2026-04-02 16:27:30,IP Address,73.118.161.80,100,120,True,2026-04-02 16:27:31,R_5yd6uNfHcWcq1Ux,,,,,47.6859,-122.2994,anonymous,EN,Woman,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"I feel it agenda could come sooner if possible. It is often hard to follow how to find the slide decks presenters show. Like today the folks on the final legislation had a slide deck, did we receive? ",,,Thank you for all your work,,,,,,,,,,,,,,,
2026-04-02 16:25:38,2026-04-02 16:27:33,IP Address,107.77.205.165,100,115,True,2026-04-02 16:27:33,R_5114zSx0EIKKOVb,,,,,47.6109,-122.3303,qr,EN,Man,Tenure Track,3-5 years,Faculty Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCFA (Faculty Affairs),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,
2026-04-02 16:26:12,2026-04-02 16:27:34,IP Address,172.56.107.7,100,81,True,2026-04-02 16:27:35,R_3TZzZJzZb3VURf1,,,,,47.6459,-122.3995,anonymous,EN,,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:26:25,2026-04-02 16:27:37,IP Address,172.56.108.20,100,71,True,2026-04-02 16:27:37,R_3tkVmTRifkuVRVs,,,,,47.4466,-122.3259,qr,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,"Salary and funding ",Salary,Work on salary please,,,,,,,,,,,,,,,
2026-04-02 16:26:12,2026-04-02 16:27:46,IP Address,131.191.88.133,100,93,True,2026-04-02 16:27:46,R_3n3Hxkm5L2Ui729,,,,,47.2476,-122.4643,qr,EN,Man,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:26:12,2026-04-02 16:27:46,IP Address,205.175.106.77,100,93,True,2026-04-02 16:27:46,R_1qaie7OgeYlO6ek,,,,,47.6631,-122.3029,qr,EN,,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:02:48,2026-04-02 16:27:47,IP Address,205.175.106.113,100,1499,True,2026-04-02 16:27:47,R_6i5umdzyEqBpxIt,,,,,47.6631,-122.3029,anonymous,EN,Man,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,Aarti has done a great job managing the meetings efficiently. Let's emulate that next year.,"Slimming down the middle layers of management. The UW has far more mid/high level fiscal staff than our peers, while also have less frontline staff actually supporting faculty in our departments. Retrenching to our core educational and research mission, even if that means laying off ""nice to have"" staff and groups. ",,,,,,,,,,,,,,,,
2026-04-02 16:25:40,2026-04-02 16:27:47,IP Address,67.185.18.71,100,126,True,2026-04-02 16:27:48,R_1P0ycMcj62au1Wa,,,,,47.6631,-122.3029,anonymous,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:21,2026-04-02 16:27:54,IP Address,104.28.116.28,100,153,True,2026-04-02 16:27:54,R_1cDqxpumxj7h52V,,,,,47.5662,-122.6411,qr,EN,Woman,Non-Tenure Track,1-3 years,"Faculty Council,Faculty Senate",Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,FCREJ (Race Equity & Justice),Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,FCREJ (Race Equity & Justice),Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,,,,
2026-04-02 16:27:02,2026-04-02 16:27:55,IP Address,205.175.118.146,100,53,True,2026-04-02 16:27:56,R_5Ed3uuPW2EzqKVH,,,,,47.6733,-122.3426,anonymous,EN,Man,Non-Tenure Track,1-3 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:51,2026-04-02 16:28:00,IP Address,205.175.106.31,100,129,True,2026-04-02 16:28:01,R_30c01WCtdyF0z6E,,,,,47.6631,-122.3029,anonymous,EN,Woman,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"Communications between the senators and broader faculty are something we have been working on, but still needs work. ","Communication with the broader faculty ",,,,,,,,,,,,,,,,,
2026-04-02 16:25:26,2026-04-02 16:28:06,IP Address,104.28.116.130,100,160,True,2026-04-02 16:28:06,R_3P5XmFfoWMnrAsX,,,,,47.6109,-122.3303,qr,EN,Woman,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Shared governance is a gem and brings faculty wisdom and inclusion to our shared mission. Legislative support is critical for faculty senate. When this hasn’t been implemented it has hurt outcomes. Thanks to the hard working senators!,"Higher Ed resources ","Higher Ed resources
Medicaid funding
Salary for faculty not being eroded once again by inflation
New process for retirement vendor ",Thank you!,,,,,,,,,,,,,,,
2026-04-02 16:27:18,2026-04-02 16:28:21,IP Address,71.212.23.70,100,62,True,2026-04-02 16:28:21,R_5rQi4JfWac3MTgB,,,,,47.5364,-122.278,anonymous,EN,Non-binary / gender non-conforming,Tenure Track,1-3 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:52,2026-04-02 16:28:22,IP Address,205.175.106.157,100,149,True,2026-04-02 16:28:22,R_3N4aPoX2JcrP7eV,,,,,47.6631,-122.3029,qr,EN,Man,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,"Funding, impact on graduate support ",,,,,,,,,,,,,,,,,
2026-04-02 16:25:35,2026-04-02 16:28:59,IP Address,166.198.252.76,100,203,True,2026-04-02 16:28:59,R_5jWaSurPt3LEU1y,,,,,47.6109,-122.3303,qr,EN,Woman,Tenure Track,10+ years,"Faculty Council,Faculty Senate",Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,"Thank you for asking ",,,"Thank you for asking ",FCAS (Academic standards),Somewhat agree,Somewhat agree,,Strongly agree,,,,,Somewhat agree,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,FCAS (Academic standards),,,,,,,,,,,,,,
2026-04-02 16:25:51,2026-04-02 16:29:20,IP Address,205.175.118.119,100,209,True,2026-04-02 16:29:20,R_6HH3BdWIwioBNyU,,,,,47.6733,-122.3426,qr,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:26:18,2026-04-02 16:29:27,IP Address,205.175.106.167,100,189,True,2026-04-02 16:29:28,R_514j1xa1RXBPBzG,,,,,47.6631,-122.3029,qr,EN,Woman,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:41,2026-04-02 16:29:44,IP Address,205.175.118.233,100,242,True,2026-04-02 16:29:45,R_5JStI8iyhbhp3m9,,,,,47.6733,-122.3426,anonymous,EN,Woman,Tenure Track,10+ years,"Faculty Council,Faculty Senate",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,,,,,FCTCP (Tri-Campus Policy),Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,FCTCP (Tri-Campus Policy),,,,,,,,,,,,,,
2026-04-02 16:25:40,2026-04-02 16:30:06,IP Address,73.254.96.154,100,265,True,2026-04-02 16:30:06,R_3AQIPQRPH6UaW4Y,,,,,47.6711,-122.1253,anonymous,EN,Woman,Non-Tenure Track,10+ years,"Faculty Council,Faculty Senate",Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,
2026-04-02 16:25:25,2026-04-02 16:30:17,IP Address,72.14.42.224,100,292,True,2026-04-02 16:30:18,R_5THsgxgyZu8hsv7,,,,,47.6859,-122.2994,anonymous,EN,Woman,Non-Tenure Track,5-10 years,"Faculty Council,Faculty Senate",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,The senate is addressing many issues of concern for multiple aspects of university work and life. I think they do this very well for the size of the institution and the senate.,,,"For new senators, it would be nice to have a summary document of prior legislation that helps them get up to speed more quickly for their first senate meeting.",,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,"I serve on the Faculty Council of University Relations. I didn't see this listed so am not sure you are looking for feedback. I think the FCUR has been helpful and educational for me, but I am not always clear on what I should take back to my department. ",,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:26:07,2026-04-02 16:30:45,IP Address,67.185.20.49,100,278,True,2026-04-02 16:30:46,R_1ZIC99NpvynDIS2,,,,,47.6137,-122.3104,anonymous,EN,Man,Non-Tenure Track,5-10 years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,"Because I represent part of the school of medicine, I feel disconnected from the faculty I represent. Instead, I wish those representing SOM were divided into their divisions (for example, one representative per division or one representing several divisions). Instead, there is overlap where multiple senators represent the same faculty. This prevents us from gathering granular feedback from just those we solely represent, and prevents us representing our specific slice of faculty from our own organization/division.",,Paid parental leave for faculty!,Perhaps put a hard cutoff at 5pm because I have to plan for daycare pickup.,,,,,,,,,,,,,,,
2026-04-02 16:25:18,2026-04-02 16:31:02,IP Address,50.47.231.89,100,344,True,2026-04-02 16:31:03,R_57PVDghKri6qd9v,,,,,47.8388,-122.1985,qr,EN,Woman,Non-Tenure Track,10+ years,"Faculty Council,Faculty Senate",Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,FCTL (Teaching & Learning),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 16:27:57,2026-04-02 16:32:07,IP Address,205.175.118.45,100,249,True,2026-04-02 16:32:07,R_3v0LetvOF7gy4G5,,,,,47.6733,-122.3426,anonymous,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,"It can be hard to engage my faculty at my unit level, so the provision of meeting summaries, slide decks, etc. are VERY valuable in trying to get the information out to my faculty. ","It would be good if we could get meeting agendas or summaries of the agenda a bit sooner so that we can try to review with faculty in units before the monthly meetings. ",,,,,,,,,,,,,,,,,
2026-04-02 16:26:05,2026-04-02 16:32:15,IP Address,50.34.76.167,100,369,True,2026-04-02 16:32:15,R_5pG4EAVwM2JuW62,,,,,47.6711,-122.1253,anonymous,EN,Man,Non-Tenure Track,5-10 years,"Faculty Council,Faculty Senate",Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,"UW administrative leadership’s decision to unilaterally transition to a single retirement benefits services without input from the faculty senate was a stark failure of shared governance and gives me substantial and continued reservations about our current institutional leadership team’s commitment to collaboration with faculty. Actions like those taken in the TIAA ordeal substantially undermine the role and importance of the faculty senate. ",,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 16:26:48,2026-04-02 16:33:44,IP Address,75.172.92.164,100,416,True,2026-04-02 16:33:45,R_5RtFxFWuLb8tWjn,,,,,47.6733,-122.3426,qr,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,"1) there should be credit given for participation in senate.  To meaningfully engage takes time. 

2) your question about being tenure track is confusing because many of us are tenure track but our official title is without tenure 

3) I feel uncertain what power the senate ultimately weilds when the school sometimes ignores the spirit of shared decision making ",,,,,,,,,,,,,,,,,,
2026-04-02 16:25:37,2026-04-02 16:34:43,IP Address,172.56.107.224,100,545,True,2026-04-02 16:34:43,R_7pDMdHfM3U5ltjr,,,,,47.6459,-122.3995,qr,EN,Woman,Tenure Track,10+ years,"Faculty Council,Faculty Senate",Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,,Better communication and senate visibility with departmental level faculty.,Stream line OSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:46,2026-04-02 16:34:44,IP Address,146.75.136.236,100,538,True,2026-04-02 16:34:45,R_7LHwVNgoTyqNdJa,,,,,47.6109,-122.3303,anonymous,EN,Man,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Faculty Councils have probably been the hardest to navigate for me - it's often not clear what concerns should go to councils (or which council) versus senate. But I have consistently found Senate leadership gracious and supportive in navigating that.,"I feel like a lot of good process improvements have been made, and a good set of infrastructural legislation has gotten passed in the past couple of years. ","I notice that some of our biggest pain points have come from missteps of shared governance (the retirement bookkeeper change, the AI task force) despite my belief that all involved have a commitment to shared governance and working together. Are there policy areas that we can adjust (or process changes) that prevent future missteps?

I am also curious how the senate can be more effective in addressing faculty needs and pain points that exist outside of the faculty code and scholastic regs (without trying to legislate everything situation). ","I have really appreciated the transition to in-person / hybrid. I wish social events were announced earlier (receptions, etc) as I think the social experience is important but these are often announced after I have hard-to-move commitments (e.g., student milestones scheduled).

The work on TopHat (thank you!) has greatly improved the efficiency of our meetings and let us spend time on the substance. Similarly, I feel like we've leveled up this year in parliamentary procedure which has helped us focus on core issues. ",,,,,,,,,,,,,,,
2026-04-02 16:25:25,2026-04-02 16:35:10,IP Address,157.97.134.235,100,585,True,2026-04-02 16:35:11,R_8U6o3G2liNecwbW,,,,,47.6109,-122.3303,qr,EN,Man,Non-Tenure Track,10+ years,"Faculty Council,Faculty Senate",Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"It is hard to respond to last-minute amendment proposals, especially when they are substantive. I wonder whether we can cut off submission of proposed amendments a few days before a meeting.","Faculty salaries (in cooperation with pro staff, librarians, et al.).",We must improve our support for part-time lecturers.,,FCFA (Faculty Affairs),Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,,,,,,,,,,,,,,,,,,,
2026-04-02 16:25:31,2026-04-02 16:37:00,IP Address,174.231.130.254,100,688,True,2026-04-02 16:37:00,R_3ojxShLbgCcKCab,,,,,47.6733,-122.3426,qr,EN,Woman,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,"The orientation is very helpful though it still takes a while to follow everything procedurally. ",,"AI — especially space to share concerns with use of AI in academia — a broad and complex topic that needs more comprehensive consideration. ",,,,,,,,,,,,,,,,
2026-04-02 16:26:17,2026-04-02 16:37:36,IP Address,75.172.2.159,100,678,True,2026-04-02 16:37:36,R_5ASb2t3JqQ6UdpE,,,,,47.54,-122.3032,anonymous,EN,Man,Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,,,"Administrative burdens on faculty.
Institutional commitment to shared governance. As an example, the response from the institution after failing to involve faculty representatives in the change to in master record keeper failed to acknowledge the magnitude of that problem. In what I have heard as a senator, it seems like it was treated as a small, inadvertent mistake, not a complete and active breakdown of shared governance. As a faculty member, if I failed to follow institution policy on that scale (mismanagement of billions of dollars), there would have been clear consequences (at a minimum, limitations on my ability to UW finance systems, required training, etc.). It is unclear to me whether the individuals who failed to follow shared governance requirements faced any sanctions or have received any training to prevent this from occurring again in the future.",,,,,,,,,,,,,,,,
2026-04-02 16:25:11,2026-04-02 16:40:27,IP Address,73.239.161.54,100,916,True,2026-04-02 16:40:28,R_5B9UsezyUiixUkY,,,,,47.4998,-122.0086,anonymous,EN,Woman,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,"I do think materials are generally shared in a timely manner, but navigating code change documents on my own can quickly get overwhelming. I'm also often unsure of which items I should try to get feedback from colleagues on before a given meeting vs after. I do really appreciate the slide decks that are being shared after each meeting. In terms time/effort vs impact of being a Senator, I think the time required to read materials and attend meetings is totally reasonable. However, the time required to effectively share out with colleagues and gather their feedback can vary among units. At UWB, Faculty Senators do not currently get any compensation in the form of course releases for this work, which limits the amount of time we can engage.",I think some hints on how to navigate the long agendas and some discussions around effective ways to get feedback from our non-Senator colleagues would be helpful!,"I am not sure how to do this within the framework of legislation, but I think that faculty workload has swelled to unsustainable proportions since the COVID-19 pandemic while our salaries have decreased (taking inflation into account). Faculty time and energy is continually expected to make up for budget shortfalls, but those currencies are just as finite as dollar amounts. It has gotten to the point that not only is faculty morale incredibly low, but we are being forced to fail at increasing aspects of our jobs because we just simply cannot do it all well.","I really appreciate the efforts of Senate Leadership to make the meetings places where a diversity of voices can be heard and that they can navigate some of the processes with a sense of humor. Trying to represent and advocate for the needs of over 7,000 faculty is an incredible challenge. Thank you (and the staff you work closely with) for your service!",,,,,,,,,,,,,,,
2026-04-02 16:27:20,2026-04-02 16:47:56,IP Address,76.22.24.136,100,1236,True,2026-04-02 16:47:57,R_7lStxrPLWbGvRN4,,,,,47.6295,-122.3165,anonymous,EN,Man,Non-Tenure Track,10+ years,Faculty Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,"While following the meeting has become easier with having been on the Senate now for >5 years, the agenda and documents for Senate meetings are very dense and often come with little (or at least insufficient) context. Adding to this is that it takes several steps to actually access them (find the senate URL or look for the historical email, navigate to the page for the meeting in question, download the document - 7 clicks total just to open the document, i just checked). The chair's letter is a great reflection on legislative process during the term, but doesn't really describe what is happening.  

Lastly, Chair's summary slides are a GREAT addition this year. Thank YOU. It would be really helpful if these could be expanded to provide some additional context items like those above. I/ we like to take these back to our unit and our department's senators regularly report they don't understand the deliberations well enough to report back on them.

Accessing and pre-reading them is time-consuming to the point where I no longer attempt to do so. A couple simple suggestions to help: 
1. Send an OUTLOOK invitation, not just an email.
2. ATTACH all documents to the invitation.  
3. Update the document to include HYPERLINKS where you can navigate from the TOC directly to a specific section. 
4. Include an EXECUTIVE SUMMARY for each item (and the agenda overall). Link(s) and/or provision of resources for people new to a topic would also be helpful. ","see above. ",,,,,,,,,,,,,,,,,
